"English","Wolaytta"
"She gossiped about the wife's guilt to her husband and","ooshshaa kessaasu."
"A gossip usually stirs up quarrels among","ubbatoo asaa giddon ooshshaa kessees."
"to the girl","ssi%1. postposition%► for; to%● na'eessi"
"as sweet as sugar","sukkaariya%1. noun%► sugar%● sukkaaredan mal""o"
"Hanging is a deserved action for a mad dog.","sulay xale."
"The mad dog was hung on the tree.","huuphiyan sulettiis."
"wood splinter","sulkkuwa%1. noun%► splinter%● mittaa sulkkuwa"
"teff chaff","sullaa%1. noun%► chaff%● gaashiya sullaa"
"The villagers hung the dog that was barking the whole night.","kanaa sulliis."
"Fatty meat is not good for","spices%● Modhdho ashoy sulssuwawu hanenna."
"Roast the","sumbburaa%1. noun%► chickpea%● Shumbburaa shaayada tukkiya essa."
"a","sumbbuuxa%1. adjective%► sharp, jagged (of mouth shape)%● doonnaa sumbbuuxa"
"The girl","sunkkuruutuwa%1. noun%► onion%● Na'iya sunkkuruutuwa poqqaydda dawsu."
"Adjectives describe nouns and pronouns in sentences.","qonccissees."
"the nominal leader of","only, but not in reality%● beeruwayyoo suntta gadaawa"
"Because he","maayettenna gishshawu assi sunttatettaappe ziqqissiyogee bessiis."
"He was","assigned (to a position)%● I nu citaa kaalettanaassi sunttettiis."
"Chili powder tastes","suphphakiya%1. noun%► chili powder%● Suphphakkee poogees."
"Women usually spin cotton.","suqqees."
"He","surqqiis%1. transitive verb%► tuck%● I shamiziya suriya giddon surqqiis."
"The","suuphiis%1. transitive verb%► sip; drink; nip%● Bitanee cambbaa suuphiis."
"The gangsters behaved well after","keettaappe kiyidi kaseegaappe suuridosona."
"Blood flows to different parts of our body through","bollaa kifiletussi goggees."
"Blood circulation stops for a dead person.","yuushshoy eqqees."
"My mother cut her finger; now it is bleeding.","qanxxaasu; ha""i suuxxiiddi dees."
"My","ta na'iyo%1. noun%► daughter%● Ta qeeri na'iya xanttaa xammanawu yeekkaasu."
"a hurried man","taafaana%1. adjective%► hurried%● taafaana bitaniya"
"He became unconscious; he","%● Assi wozanay taahiis; haasayanawu danddayenna."
"I will go to the market tomorrow.","giyaa baana."
"The","taappeellaa%1. noun%► sign%● Taappeellay tana waanna ogiyakko malaatiis."
"I am so sorry!","taassa%1. noun%► sorry (feeling of grief)%● Taassa gido!"
"A stage","tachchiya%1. noun%► stage%● Tachchee yeehuwan so asay uttiyo man''iya."
"He merely jabbers;","incomprehensibly%● I coo tafitafees; haasayaa loyttierenna."
"He measured the rope with a span.","I wodoruwa taakkaariis."
"Taxonomy is the science of classifying living things based","shaakkiya saynise."
"He","tal''iis%1. transitive verb%► Borrowed%● I bankkiyappe miishshaa tal''iis."
"A bank is a lender.","tal''iyagaa%1. noun%► lender%● Bankkee tal''iyagaa."
"The firemen arrived in order to extinguish the fire.","toyssanawu gakkidosona."
"Students love his teaching methodology.","hiillaa dosoosona."
"Do you want to see me? I will go there.","gayttanawu koyadii? Yaa bays."
"He stretched his legs.","tanggacciis."
"I am","tarkka%1. adverb%► alone%● Taani wogga keettan tarkka daanawu yayyays."
"Because I have","teenisiya%1. noun%► tennis%● Taani teenisiya kaa'ida daafuraas."
"He is watching the football match on the television.","be'iiddi dees."
"A lot of people were gathered in the public hall.","tencciis."
"Who is the man with the receding hairline?","sunttay oonee?"
"The teacher reported the","naatu kawushsha hanuwa delektteriyassi erissiis."
"The money was lost in the market.","Miishshay giyan timishkki giis."
"The boy drank a gourd of milk.","tinkkiri oottiis."
"Stand still! Don't fidget!","eqqa! Tippitippoa!"
"He rubbed his","tiqiis%1. transitive verb%► rub (of eyes)%● I ba ayfiya tiqiis."
"Because I live alone, the housework has","so oosoy taayyoo tira baaxe kiyiis."
"The traffic officer fined the driver for fast driving.","laaggiyogaassi seeriis."
"The baby","stealthily%● Loddaara na'ay tiran gooshettidi penggekko shiiqiis."
"The seeds scattered from the torn sack.","tiskki giis."
"She put some hand lotion for cuts and sores on her hands.","tisttaasu."
"ripe maize","tiya%1. adjective%► ripe (immature)%● tiya badalaa"
"The maize ripened.","tiyattiis%1. intransitive verb%► ripen%● Badalay tiyattiis."
"The room","tiyettaa%1. noun%► painting; applying%● Kifilee tiyettaa koyees."
"Molars do not appear before ten years.","tochchoy mokkenna."
"a mule which can be","toga%1. adjective%► able to be ridden%● toga baquluwa"
"His father is good at riding horse.","togawu mino."
"When he photographed them, those in","sinttaara diyageeti toho bolli uttidosona."
"I have a pain in my foot, so I cannot walk fast.","eesotikke."
"He planted the tree after he had dug","ollaa bookki simmidi, puutiya tokkiis."
"I want to iron that dress before I wear it.","kasetada tokkosanawu koyays."
"The officer ordered the policemen to fire.","mala kiittiis."
"He","tollu giis%1. intransitive verb%► stand fixed%● I giya gidduwan tollu giis."
"A man servant distributes food","%● Tonddee kawuwa keettan kattaa asawu yezzees."
"A","tooraa%1. noun%► spear%● Issi shankkanchchay gaammuwa tooran caddidi woriis."
"One who does not keep his/her dignity will be disdained.","asi tooshettees."
"Would you help me carry this","joyniya tana toossada so gelissanawu maadduutee?"
"A fat woman walks gradually.","hemetaa tooxattawusu."
"Having nowhere in particular","xayin, quma keettaappe kare baggaara toppattiis."
"The man forced the club into","something deeply%● Bitanee koxiya biittan toriis."
"A hermaphrodite is a person having both male and","maccatettay de'iyo asa."
"not indigenous","tossa%1. adjective%► not indigenous, planted%● tossa woyshsha"
"The cow stopped giving milk.","toyssaychchaasu."
"He is talking aimlessly; no one is listening to","baawa, shin coo tozhzhattees."
"Dry wood burns brightly.","tozhzhattiis."
"During her school days, she suffered from poverty.","keehi tuggataasu."
"The owner of this house mistreated his","goday oosanchchiyo tuggayidi wottiis."
"Untie the knot.","tuhuwa%1. noun%► knot; noose%● Tuhuwa birshsha."
"Putting the two ropes together, he tied the bull.","booraa qachchiis."
"Ouch! Your shouting deafens me.","tulissees."
"A","tulle%1. adjective%► deaf; unable to hear%● Tulle asi siyanawu danddayenna."
"He","tumaleessaa%1. noun%► billy goat, male goat%● I tumaleessa shukkiis."
"I won't respect you unless you are truthful.","taani nena bonchchikke."
"Builders use a plumb to verify the vertical position","sittatettaa xeelloosona."
"In Wolaita culture, marriage in the same clan is","gelettiyogee tunatettaa."
"Children who grew lavishly are powerful.","tunttattees."
"The mushroom pushed out of the soil.","Shumee biittaappe tuqqidi kiyees."
"The calf suckled its mother enthusiastically.","turiis."
"the","ubbaappe aaro%1. adjective%► maximum; multiple%● ubbaappe aaro qoodaa"
"Who is the eldest boy among the three brothers?","oonee?"
"They collected salty soil from seashore.","kareppe aduwa uccidosona."
"Wearing a suit and boasting is not","maayuwa maayidi kafaafiyogee udobaa gidenna"
"Where is the mortar","udulaa%1. noun%► mortar%● Tukkiya caddanawu udulay anee?"
"Flies breed","udunxxiya%1. noun%► fly; housefly%● Udunxxee qita sohuwan laa'ees."
"The girl greeted her family cheerfully.","sarotaasu."
"an unpleasant talk","ufayssenna%1. adjective%► unpleasant%● ufayssenna haasayaa"
"The","ufuufaa%1. noun%► balloon%● Ufuufay kofa. A garssan ay carkkoynne baawa."
"The potatoes have not produced large bulbs;","unkkotibeenna; ufuuppunettiis."
"A drone is a non-","uggaa%1. noun%► drone%● Uggay aynne oottenna attuma mattaa."
"I bought a goat from","Taani zilaytti ukkumaa gaashshiyan deeshshaa shammaas."
"A local flute is a large","Uldduudoy kaciyappe oosettiya yettaa miishsha."
"Olive leaf is used as a fumigant for beehives.","maaddiya mitta."
"A leech is a worm that sucks animals' blood by clinging on","xuuxiya guxune."
"After I had taken the prescribed medicines, my","sahoy guuttaa deciis."
"This house is too small for the family.","asawu keehi un""ees."
"He drank wine from the wineglass.","uyiis."
"Tea is","usttaa%1. noun%► appetizer (food or drink)%● Shayee daabbuwassi ustta."
"He used a glass of milk as an appetizer to eat bread.","oyttaara usttiis."
"The hotel is profitable because of good","denddidaagan lo""o woriya demmees."
"The man","uttiyosaa%1. noun%► seat%● Bitanee kaamiyan uttiyosay xayin eqqiis."
"The house is getting full of fruit flies. Clean it.","Meeccaychcha."
"His mother bakes cakes very well.","uukkawusu."
"Thunderstorms are violent rainstorms that produce thunder and","uusho."
"The maturing maize plants","%● Iray uushin, aysaariidi de'iya badalay me""iis."
"The rainstorm destroyed the ripened crops.","gakkida kattaa qohiis."
"a villa along the lake","viillaa%1. noun%► villa%● abbaa achchan de'iya viillaa"
"Eating a balanced diet","viitaaminiya lo''o payyatettaassi demmanawu maaddees."
"Pack animals do not regurgitate their food.","waammotenna."
"How did you come to work today? By car or by taxi?","takisiyan yaadii?"
"Something happened to your car; it is out of order.","hanidi oottenna."
"A man has pair of","waatta%1. adjective%► pair%● Bitaniyawu waata booray de'ees."
"He does not know","waattaa%1. noun%► yoking%● I booraa waatta/waaxiyogaa erenna."
"Christmas Eve","waawwuwa%1. noun%► eve%● Yesuusa Yeletaa Waawwuwa"
"He agonized to come out of the","worry; writhe%● Ollaappe kiyanawu waayettiis."
"The big elephant turned to run to the","danggarssay arshsho simmidi wadhdhiis."
"The boy swam in","wadhdhiis%1. transitive verb%► swim%● Na'ay haattaa wadhdhiis."
"A large traditional blanket is about seven meters long.","oyddu metire afalaa."
"The","wajajjiis%1. intransitive verb%► be bright%● Away dolin, sa'ay wajajjiis."
"A monitor lizard has a","goynaynne oyddu geedee de'ees. I wogga zare malatees."
"He received a severe reprimand for his behavior.","walassay gakkiis."
"He was fined and","miishshaa moorido gishshawu, maqaccettiisinne walasettiis."
"He is good at swimming.","waraa%1. noun%► swimming%● I haattaa waraw gooba."
"A quarrelsome person will have many enemies.","de'oosona."
"I do not have children,","naati baynna gishshawu tana so oosoy wodallissees."
"Rope is twisted of","wodoruwa%1. noun%► rope%● Wodoroy golaappe dooqettees."
"The government legislated many laws this year.","kessiis."
"If people breach the contract","zaaridi wogaa menttikko, mino seeray imettees."
"The","wogaa%1. noun%► law%● Yelaga naati warettanawu manddiyogaa wogay diggees."
"'Wogamua' is one kind of sorghum.","qommo."
"It is an acceptable culture","yelidaageeta bonchchiyogee wogan de'iya hanota."
"I accumulated this money legally. I didn't steal it.","Wuuqqabeykke."
"The king lives in a mansion.","de'ees."
"the larger book","woggaatiya%1. adjective%► larger%● woggaatiya maxaafaa"
"The decayed tooth fell out.","wodhdhiis."
"A ficus is a very large tree commonly used as shade in market","wogga mittaa."
"A","woliwoluwa%1. noun%► boat%● Woliwoloy haattaa bolla yuuyanaassi maaddees."
"Early men used to chop meat with","chop meat)%● Beni asay ashuwa woliyan muxees."
"Hard labor","wolqqa oosuwa%1. noun%► labor%● Wolqqa oosoy nena daafurssees."
"The","wolqqanttaa%1. noun%► lightning; flash%● Dorssiyo wolqqanttay daganttiis."
"He forced me to leave the room.","mala wolqqanttiis."
"We bury a corpse after putting it into a","wonggiriyan yeggidi moogettees."
"He incriminated his adversary.","wonjjaliis."
"The cow's udder is full.","Miizzeessi xanttay wonzziis."
"The man drilled the mortar.","Bitanee udulaa woociis."
"He always brags after doing a favor for somebody.","makkidi woommees."
"a ripened","woossaa%1. noun%► ripened enset (false banana)%● uuttaa woossaa"
"The false banana is ripe and can now be","ha''i haashettanawu danddayees."
"He wants a","undisturbed; secure; peaceful%● I nabbabanawu woppa sohuwa koyees."
"He entered","woppu%1. adverb%► quiet; quietly%● I soo gelidi woppu giidi uttiis."
"How awesome, God, you are!","your name (God) in worship%● Xoosso, niyo woraabi!"
"He praised me for winning the race.","xoonin, I tana woraabiis."
"The neighboring country's army attacked","ambbaa say geeyyiyo wode woraajjiis."
"The quick brown fox jumped over the lazy dog.","guppidi aadhdhiis."
"A lot of people win with the testimony of a false witness","markkan shatimmees."
"A businessman should work hard to make profit.","oottanawu bessees."
"A cockerel crows.","cuurees."
"The zonal chief administrator","allaanatun oosettidabaa woshettaa doommiis."
"The boy dashed towards home.","soo simmidi wottaa katiis."
"The athlete won the race and raised the flag.","banddiraa denttiis."
"To buy the horse, he","immi simmidi guutta miishshaakka bollaara wotuwa immiis."
"an elbow patch","bolla diya wotuwa"
"'Wotaha' is prepared by mixing cabbage with meat.","walakkin ka""ees."
"The small child ran","something)%● Qeeri na'ay ba aawaa sooppe woxxidi xayiis."
"The","or creeping along a surface%● Woyniya turay zaa'idi mittaa xeeraa gakkiis."
"How","woysee%1. adjective%► how much; how many%● Dorssaa godawu gatee woysee?"
"The soldiers who won the battle were awarded","baadeti wogoruwa woytettidosona."
"My brother was praised for his bravery and was receiving a","demmiiddi takkiis."
"If I eat sweet potato, my heart will start","shukkaariya miikko, wozanaa mees."
"Children become mature when they grow up.","naati wozannaamees."
"He focused on reading the","seriously%● I maxaafaa loytti nabbabanawu wudiis."
"A herd of cattle grazed along the road.","mehee ogiya achchan maataa miis."
"Earwax is a yellowish waxy substance in ears.","wuqaawuquwa geettees."
"The kidney bean yielded a good crop due to enough rain.","coraa wurcciis."
"Beckoning his partner, the thief said to the merchant,","Lo""o day?"" yaagiis."
"The guest beckoned to the woman to bring water.","wuttiis."
"The prime minister was waving his hands while","biiddi asaa kushiya wuxaawuxiis."
"An ox bellows.","xaaggiis%1. intransitive verb%► bellow%● Boori xaaggees."
"Working hard, the man was hurt.","nohayiiddi xaamatiis."
"The snake wound around his legs.","xaaxettiis."
"Our village includes a lot of people.","waaxi oyqqees."
"leather of a hippopotamus","xadiya%1. noun%► hippopotamus%● xadiya galbbaa"
"He","shin hanno gakkanassi minttidi oottanaassi ayyoo xalaynne minotay de'ees."
"a satanic work","xalahe%1. adjective%► satanic; wicked%● xalahe oosuwa"
"Satan is the","xalahiya%1. noun%► Satan; devil%● Xalahee Xoossaassi morkke."
"Soldiers showed a great deal of bravery in the war.","xalatettaa bessidosona"
"If we eat raw meat, we may get infested by","nuussi xalee beettana danddayees."
"The sun shone in the morning.","xalqqiis."
"She is violent towards her husband.","xalttaamawusu."
